Texas Tech,2550,Seton Hall,2641
3:05,2641,Keenan Evans made Free Throw.,70,77
3:05,2641,Keenan Evans made Free Throw.,71,77
2:56,2550,Myles Powell Turnover.,71,77
2:51,2641,Keenan Evans Steal.,71,77
2:50,2641,Foul on Brandone Francis.,71,77
2:50,2641,Brandone Francis Turnover.,71,77
2:24,2550,Desi Rodriguez made Layup.,71,79
2:12,2641,Keenan Evans made Layup.,73,79
2:12,2641,Texas Tech  Timeout,73,79
2:05,2550,Myles Powell made Three Point Jumper. Assisted by Ismael Sanogo.,73,82
1:54,2641,Keenan Evans missed Three Point Jumper.,73,82
1:54,2641,Jarrett Culver Offensive Rebound.,73,82
1:50,2641,Brandone Francis missed Three Point Jumper.,73,82
1:50,2550,Desi Rodriguez Defensive Rebound.,73,82
1:36,2550,Myles Powell made Layup.,73,84
1:20,2641,Jarrett Culver Turnover.,73,84
1:20,2550,Myles Powell Steal.,73,84
1:20,2550,Myles Powell made Layup.,73,86
1:16,2641,Foul on Jarrett Culver.,73,86
1:16,2550,Myles Powell missed Free Throw.,73,86
1:16,2641,Zach Smith Defensive Rebound.,73,86
1:12,2641,Zach Smith missed Jumper.,73,86
1:12,2550,Angel Delgado Defensive Rebound.,73,86
0:54,2641,Foul on Niem Stevenson.,73,86
0:54,2550,Khadeen Carrington made Free Throw.,73,87
0:54,2550,Khadeen Carrington made Free Throw.,73,88
0:44,2641,Keenan Evans Turnover.,73,88
0:44,2641,Texas Tech  Timeout,73,88
0:30,2550,Desi Rodriguez Turnover.,73,88
0:28,2641,Keenan Evans Steal.,73,88
0:27,2641,Jarrett Culver made Three Point Jumper. Assisted by Keenan Evans.,76,88
0:23,2641,Foul on Zhaire Smith.,76,88
0:23,2550,Myles Powell made Free Throw.,76,89
0:23,2550,Myles Powell missed Free Throw.,76,89
0:23,2641,Jarrett Culver Defensive Rebound.,76,89
0:17,2641,Jarrett Culver made Three Point Jumper.,79,89
0:00,2550,End of Game,79,89
