South Dakota,140,UMKC,233
2:56,233,Trey Burch-Manning Turnover.,79,62
2:41,233,Foul on Matt Mooney.,79,62
2:41,140,Isaiah Ross missed Free Throw.,79,62
2:41,140,UMKC Deadball Team Rebound.,79,62
2:41,140,Isaiah Ross made Free Throw.,79,63
2:15,233,Carlton Hurst made Jumper.,81,63
2:06,140,Isaiah Ross missed Layup.,81,63
2:06,233,Nick Fuller Defensive Rebound.,81,63
1:55,140,Foul on Broderick Robinson.,81,63
1:55,233,Matt Mooney missed Free Throw.,81,63
1:55,233,South Dakota Deadball Team Rebound.,81,63
1:55,233,Matt Mooney made Free Throw.,82,63
1:38,140,Marvin Nesbitt Jr. Turnover.,82,63
1:37,233,Triston Simpson Steal.,82,63
1:11,233,Brandon Armstrong missed Three Point Jumper.,82,63
1:11,233,Nick Fuller Offensive Rebound.,82,63
0:59,233,South Dakota  Timeout,82,63
0:39,233,Jack Stensgard missed Three Point Jumper.,82,63
0:39,140,Marvin Nesbitt Jr. Defensive Rebound.,82,63
0:29,140,Steve Dulley missed Three Point Jumper.,82,63
0:29,233,South Dakota Defensive Rebound.,82,63
0:00,140,End of Game,82,63
