Troy,5,UAB,2653
3:18,2653,Juan Davis Jr. made Layup. Assisted by DeVon Walker.,45,60
3:11,5,UAB  Timeout,45,60
3:11,5,Official TV Timeout,45,60
2:58,5,Dirk Williams missed Jumper.,45,60
2:58,2653,DeVon Walker Block.,45,60
2:57,2653,DeVon Walker Defensive Rebound.,45,60
2:53,2653,Kevin Baker made Three Point Jumper. Assisted by DeVon Walker.,48,60
2:33,5,William Lee made Three Point Jumper. Assisted by Denzell Watts.,48,63
2:22,2653,Wesley Person missed Three Point Jumper.,48,63
2:22,5,Dirk Williams Defensive Rebound.,48,63
2:10,5,Javien Williams missed Layup.,48,63
2:10,2653,Jordon Varnado Block.,48,63
2:09,2653,Jordon Varnado Defensive Rebound.,48,63
2:07,2653,Kevin Baker missed Three Point Jumper.,48,63
2:07,5,Dirk Williams Defensive Rebound.,48,63
2:01,5,Dirk Williams made Layup.,48,65
1:40,2653,Juan Davis Jr. missed Three Point Jumper.,48,65
1:40,5,UAB Defensive Rebound.,48,65
1:38,2653,Foul on DeVon Walker.,48,65
1:38,5,Dirk Williams made Free Throw.,48,66
1:38,5,Dirk Williams made Free Throw.,48,67
1:27,2653,Jordon Varnado made Layup. Assisted by DeVon Walker.,50,67
1:11,5,Thomas Smallwood missed Three Point Jumper.,50,67
1:11,5,Denzell Watts Offensive Rebound.,50,67
1:02,5,Javien Williams made Three Point Jumper. Assisted by Nate Darling.,50,70
1:00,2653,Foul on Juan Davis Jr..,50,70
1:00,5,Tyler Madison made Free Throw.,50,71
1:00,5,Tyler Madison missed Free Throw.,50,71
1:00,2653,DeVon Walker Defensive Rebound.,50,71
0:52,2653,Wesley Person missed Three Point Jumper.,50,71
0:52,5,Denzell Watts Defensive Rebound.,50,71
0:45,5,Javien Williams missed Layup.,50,71
0:45,5,Thomas Smallwood Offensive Rebound.,50,71
0:42,5,Thomas Smallwood missed Layup.,50,71
0:42,2653,Jordon Varnado Defensive Rebound.,50,71
0:36,5,Foul on Nate Darling.,50,71
0:36,2653,DeVon Walker made Free Throw.,51,71
0:36,2653,DeVon Walker missed Free Throw.,51,71
0:36,5,Thomas Smallwood Defensive Rebound.,51,71
0:19,5,Nate Darling made Three Point Jumper. Assisted by Thomas Smallwood.,51,74
0:12,2653,Kevin Baker missed Three Point Jumper.,51,74
0:12,5,Javien Williams Defensive Rebound.,51,74
0:00,5,End of Game,51,74
