Memphis,333,Alabama,235
5:54,235,Kyvon Davenport made Free Throw.,59,72
5:42,333,Alex Reese missed Jumper.,59,72
5:42,333,Alex Reese Offensive Rebound.,59,72
5:40,333,Alex Reese made Layup.,59,74
5:22,235,Jeremiah Martin Turnover.,59,74
5:22,235,Foul on Jeremiah Martin.,59,74
4:54,333,Herb Jones Turnover.,59,74
4:52,235,Jeremiah Martin Steal.,59,74
4:50,235,Jeremiah Martin made Three Point Jumper. Assisted by Jimario Rivers.,62,74
4:36,333,John Petty made Three Point Jumper.,62,77
4:13,235,Raynere Thornton missed Three Point Jumper.,62,77
4:13,235,Kyvon Davenport Offensive Rebound.,62,77
4:08,235,Kyvon Davenport missed Jumper.,62,77
4:08,333,Dazon Ingram Defensive Rebound.,62,77
3:49,235,Foul on Raynere Thornton.,62,77
3:49,333,Official TV Timeout,62,77
3:49,333,Dazon Ingram missed Free Throw.,62,77
3:49,333,Alabama Deadball Team Rebound.,62,77
3:49,333,Dazon Ingram made Free Throw.,62,78
3:35,333,Foul on Galin Smith.,62,78
3:35,235,Raynere Thornton made Free Throw.,63,78
3:35,235,Raynere Thornton made Free Throw.,64,78
3:24,333,John Petty missed Three Point Jumper.,64,78
3:24,235,Jeremiah Martin Defensive Rebound.,64,78
3:13,333,Foul on John Petty.,64,78
3:13,235,Raynere Thornton missed Free Throw.,64,78
3:13,235,Memphis Deadball Team Rebound.,64,78
3:13,235,Raynere Thornton missed Free Throw.,64,78
3:13,333,Herb Jones Defensive Rebound.,64,78
2:46,333,Alex Reese missed Three Point Jumper.,64,78
2:46,235,Jeremiah Martin Defensive Rebound.,64,78
2:39,235,Kyvon Davenport made Layup. Assisted by Jeremiah Martin.,66,78
2:09,333,Dazon Ingram missed Layup.,66,78
2:09,333,Alabama Offensive Rebound.,66,78
2:09,235,Foul on Raynere Thornton.,66,78
2:09,333,Dazon Ingram made Free Throw.,66,79
2:09,333,Dazon Ingram made Free Throw.,66,80
2:00,235,Kareem Brewton Jr. missed Layup.,66,80
2:00,333,Alex Reese Defensive Rebound.,66,80
1:42,333,Dazon Ingram Turnover.,66,80
1:41,235,Kareem Brewton Jr. Steal.,66,80
1:39,235,Jimario Rivers missed Layup.,66,80
1:39,333,Herb Jones Defensive Rebound.,66,80
1:27,333,Alabama  Timeout,66,80
1:12,333,Herb Jones missed Jumper.,66,80
1:12,235,Kyvon Davenport Defensive Rebound.,66,80
0:58,235,Kareem Brewton Jr. missed Three Point Jumper.,66,80
0:58,333,Alabama Defensive Rebound.,66,80
0:51,235,Foul on Jeremiah Martin.,66,80
0:51,333,Dazon Ingram made Free Throw.,66,81
0:51,333,Dazon Ingram made Free Throw.,66,82
0:44,235,Kareem Brewton Jr. missed Three Point Jumper.,66,82
0:44,235,Raynere Thornton Offensive Rebound.,66,82
0:40,235,Raynere Thornton missed Layup.,66,82
0:40,333,Donta Hall Block.,66,82
0:38,235,Jeremiah Martin Offensive Rebound.,66,82
0:34,235,Jeremiah Martin made Layup.,68,82
0:07,333,John Petty missed Three Point Jumper.,68,82
0:07,235,Jeremiah Martin Defensive Rebound.,68,82
0:01,235,Kareem Brewton Jr. made Dunk. Assisted by Jeremiah Martin.,70,82
0:00,333,End of Game,70,82
