Nicholls,292,UT Rio Grande Valley,2447
8:25,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Tevon Saddler.,84,91
8:11,292,Dan Kimasa made Layup. Assisted by Javon Levi.,84,93
7:57,2447,Tevon Saddler Turnover.,84,93
7:55,292,Xavier McDaniel Jr. Steal.,84,93
7:54,292,Official TV Timeout,84,93
7:42,292,Xavier McDaniel Jr. made Three Point Jumper. Assisted by Javon Levi.,84,96
7:29,2447,Roddy Peters made Jumper.,86,96
7:29,292,Foul on Xavier McDaniel Jr..,86,96
7:29,2447,Roddy Peters made Free Throw.,87,96
7:21,292,Javon Levi missed Jumper.,87,96
7:21,2447,Tevon Saddler Defensive Rebound.,87,96
7:14,2447,Roddy Peters missed Layup.,87,96
7:14,2447,Kevin Johnson Offensive Rebound.,87,96
7:08,2447,Kevin Johnson made Jumper.,89,96
6:45,292,Nick Dixon made Layup.,89,98
6:30,2447,Tevon Saddler missed Jumper.,89,98
6:30,2447,Nicholls Offensive Rebound.,89,98
6:28,292,Foul on Dan Kimasa.,89,98
6:28,2447,Daniel Regis missed Free Throw.,89,98
6:28,292,Xavier McDaniel Jr. Defensive Rebound.,89,98
6:04,2447,Foul on Daniel Regis.,89,98
6:04,292,Moe McDonald made Free Throw.,89,99
6:04,292,Moe McDonald missed Free Throw.,89,99
6:04,2447,Jahvaughn Powell Defensive Rebound.,89,99
5:58,2447,Roddy Peters made Layup.,91,99
5:46,292,Xavier McDaniel Jr. missed Jumper.,91,99
5:46,292,Xavier McDaniel Jr. Offensive Rebound.,91,99
5:38,292,Moe McDonald missed Three Point Jumper.,91,99
5:38,2447,Tevon Saddler Defensive Rebound.,91,99
5:30,2447,Roddy Peters made Layup.,93,99
5:06,292,Nick Dixon missed Layup.,93,99
5:06,2447,Legend Robertin Defensive Rebound.,93,99
5:00,2447,Roddy Peters made Layup.,95,99
4:42,292,Nick Dixon Turnover.,95,99
4:37,2447,Roddy Peters made Layup. Assisted by Tevon Saddler.,97,99
4:21,292,Moe McDonald Turnover.,97,99
4:11,2447,Roddy Peters missed Jumper.,97,99
4:11,2447,Legend Robertin Offensive Rebound.,97,99
4:05,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Jahvaughn Powell.,100,99
3:49,292,Xavier McDaniel Jr. made Jumper. Assisted by Greg Bowie.,100,101
3:31,292,Foul on Lew Stallworth.,100,101
3:31,292,Official TV Timeout,100,101
3:31,2447,Roddy Peters made Free Throw.,101,101
3:31,2447,Roddy Peters made Free Throw.,102,101
3:12,292,Moe McDonald Turnover.,102,101
3:10,2447,Tevon Saddler Steal.,102,101
3:07,2447,Jahvaughn Powell made Layup. Assisted by Tevon Saddler.,104,101
3:07,292,Foul on Greg Bowie.,104,101
3:07,2447,Jahvaughn Powell made Free Throw.,105,101
