Lipscomb,2132,Cincinnati,288
16:51,288,Garrison Mathews made Jumper. Assisted by Nathan Moran.,37,49
16:51,2132,Foul on Tre Scott.,37,49
16:51,288,Garrison Mathews made Free Throw.,38,49
16:30,2132,Tre Scott missed Jumper.,38,49
16:30,2132,Cincinnati Deadball Team Rebound.,38,49
16:28,288,Foul on George Brammeier.,38,49
16:28,2132,Tre Scott made Jumper. Assisted by Troy Caupain.,38,51
16:15,288,Aaron Korn made Three Point Jumper. Assisted by Garrison Mathews.,41,51
15:54,2132,Kyle Washington Turnover.,41,51
15:54,2132,Foul on Kyle Washington.,41,51
15:51,2132,Official TV Timeout,41,51
15:41,288,Lipscomb  Turnover.,41,51
15:19,2132,Nysier Brooks made Dunk. Assisted by Troy Caupain.,41,53
15:13,288,George Brammeier Turnover.,41,53
15:01,288,Foul on Aaron Korn.,41,53
14:53,2132,Tre Scott missed Layup.,41,53
14:53,288,Eli Pepper Block.,41,53
14:51,288,Kenny Cooper Defensive Rebound.,41,53
14:46,288,Kenny Cooper made Layup.,43,53
14:25,2132,Jacob Evans made Three Point Jumper. Assisted by Kevin Johnson.,43,56
14:10,288,Garrison Mathews missed Three Point Jumper.,43,56
14:10,2132,Kevin Johnson Defensive Rebound.,43,56
14:02,2132,Kevin Johnson made Layup.,43,58
14:02,288,Foul on Kenny Cooper.,43,58
14:02,2132,Kevin Johnson made Free Throw.,43,59
13:46,288,Aaron Korn missed Three Point Jumper.,43,59
13:46,2132,Tre Scott Defensive Rebound.,43,59
13:29,2132,Nysier Brooks missed Jumper.,43,59
13:29,288,Garrison Mathews Defensive Rebound.,43,59
13:20,288,Garrison Mathews made Layup.,45,59
12:52,2132,Nysier Brooks made Layup. Assisted by Troy Caupain.,45,61
12:52,288,Foul on Josh Williams.,45,61
12:52,2132,Nysier Brooks made Free Throw.,45,62
12:27,288,Garrison Mathews missed Layup.,45,62
12:27,288,Rob Marberry Offensive Rebound.,45,62
12:24,288,Rob Marberry made Dunk.,47,62
11:50,2132,Official TV Timeout,47,62
11:50,288,Foul on Eli Pepper.,47,62
11:50,2132,Jarron Cumberland missed Free Throw.,47,62
11:50,2132,Cincinnati Deadball Team Rebound.,47,62
11:50,2132,Jarron Cumberland made Free Throw.,47,63
11:32,288,Garrison Mathews Turnover.,47,63
11:31,2132,Jacob Evans Steal.,47,63
11:16,2132,Jacob Evans made Three Point Jumper. Assisted by Jarron Cumberland.,47,66
10:45,288,Michael Buckland missed Three Point Jumper.,47,66
10:45,2132,Troy Caupain Defensive Rebound.,47,66
10:37,2132,Jarron Cumberland made Three Point Jumper. Assisted by Troy Caupain.,47,69
10:32,288,Lipscomb  Timeout,47,69
10:01,288,Michael Buckland Turnover.,47,69
10:01,2132,Jarron Cumberland Steal.,47,69
10:01,288,Foul on Nathan Moran.,47,69
10:01,2132,Jarron Cumberland made Free Throw.,47,70
10:01,2132,Jarron Cumberland made Free Throw.,47,71
9:39,2132,Foul on Jacob Evans.,47,71
9:36,288,Nathan Moran missed Three Point Jumper.,47,71
9:36,288,George Brammeier Offensive Rebound.,47,71
9:34,288,George Brammeier made Two Point Tip Shot.,49,71
9:34,2132,Foul on Tre Scott.,49,71
9:34,288,George Brammeier made Free Throw.,50,71
9:21,2132,Tre Scott Turnover.,50,71
9:05,288,George Brammeier made Layup. Assisted by Nathan Moran.,52,71
8:39,2132,Kevin Johnson missed Three Point Jumper.,52,71
8:39,288,Nathan Moran Defensive Rebound.,52,71
8:30,288,Josh Williams missed Three Point Jumper.,52,71
8:30,2132,Jarron Cumberland Block.,52,71
8:29,2132,Tre Scott Defensive Rebound.,52,71
8:21,288,Foul on George Brammeier.,52,71
8:20,2132,Kyle Washington made Free Throw.,52,72
8:20,2132,Kyle Washington made Free Throw.,52,73
8:06,2132,Foul on Nysier Brooks.,52,73
8:05,288,Josh Williams made Layup. Assisted by Kenny Cooper.,54,73
7:58,2132,Jarron Cumberland made Layup. Assisted by Justin Jenifer.,54,75
7:58,288,Foul on Garrison Mathews.,54,75
7:58,2132,Official TV Timeout,54,75
7:58,2132,Jarron Cumberland made Free Throw.,54,76
7:35,288,George Brammeier made Layup. Assisted by Aaron Korn.,56,76
7:17,2132,Justin Jenifer missed Jumper.,56,76
7:17,288,Garrison Mathews Defensive Rebound.,56,76
6:52,288,Michael Buckland missed Jumper.,56,76
6:52,2132,Justin Jenifer Defensive Rebound.,56,76
6:45,2132,Kevin Johnson Turnover.,56,76
6:17,288,Josh Williams made Jumper.,58,76
5:56,2132,Jarron Cumberland made Layup. Assisted by Kyle Washington.,58,78
5:42,288,Rob Marberry missed Jumper.,58,78
5:42,288,Lipscomb Offensive Rebound.,58,78
5:40,288,Lipscomb  Timeout,58,78
5:32,288,Eli Pepper missed Three Point Jumper.,58,78
5:32,288,Josh Williams Offensive Rebound.,58,78
5:29,288,Josh Williams missed Layup.,58,78
5:29,2132,Kyle Washington Block.,58,78
5:27,2132,Justin Jenifer Defensive Rebound.,58,78
5:12,2132,Kyle Washington made Layup. Assisted by Justin Jenifer.,58,80
4:59,288,Rob Marberry made Jumper.,60,80
4:33,2132,Justin Jenifer Turnover.,60,80
4:32,288,Aaron Korn Steal.,60,80
4:27,288,Aaron Korn Turnover.,60,80
4:08,2132,Justin Jenifer made Three Point Jumper. Assisted by Jacob Evans.,60,83
3:42,2132,Foul on Kyle Washington.,60,83
3:41,2132,Official TV Timeout,60,83
3:31,2132,Foul on Quadri Moore.,60,83
3:31,288,Rob Marberry made Free Throw.,61,83
3:31,288,Rob Marberry missed Free Throw.,61,83
3:31,2132,Tre Scott Defensive Rebound.,61,83
3:31,288,Foul on Garrison Mathews.,61,83
3:31,2132,Tre Scott made Free Throw.,61,84
3:31,2132,Tre Scott made Free Throw.,61,85
3:13,288,Garrison Mathews missed Three Point Jumper.,61,85
3:13,2132,Kevin Johnson Defensive Rebound.,61,85
2:57,2132,Quadri Moore missed Jumper.,61,85
2:57,2132,Tre Scott Offensive Rebound.,61,85
2:55,288,Foul on Eli Pepper.,61,85
2:55,2132,Tre Scott missed Free Throw.,61,85
2:55,2132,Cincinnati Deadball Team Rebound.,61,85
2:55,2132,Tre Scott made Free Throw.,61,86
2:42,288,Josh Williams Turnover.,61,86
2:34,2132,Tre Scott made Layup.,61,88
2:28,288,Rob Marberry missed Layup.,61,88
2:28,2132,Tre Scott Block.,61,88
2:26,2132,Quadri Moore Defensive Rebound.,61,88
2:22,2132,Justin Jenifer missed Jumper.,61,88
2:22,288,Rob Marberry Defensive Rebound.,61,88
