Fairleigh Dickinson,194,Ohio State,161
5:36,194,Official TV Timeout,51,61
5:15,161,Stephan Jiggetts missed Three Point Jumper.,51,61
5:15,194,Trevor Thompson Defensive Rebound.,51,61
4:45,194,Trevor Thompson missed Jumper.,51,61
4:45,161,Malik Miller Defensive Rebound.,51,61
4:27,161,Kaleb Bishop missed Three Point Jumper.,51,61
4:27,161,Malik Miller Offensive Rebound.,51,61
4:25,194,Foul on Trevor Thompson.,51,61
4:25,161,Malik Miller made Free Throw.,52,61
4:25,161,Malik Miller missed Free Throw.,52,61
4:25,194,Jae'Sean Tate Defensive Rebound.,52,61
4:01,194,JaQuan Lyle made Three Point Jumper.,52,64
3:34,161,Darian Anderson missed Jumper.,52,64
3:34,161,Kaleb Bishop Offensive Rebound.,52,64
3:31,161,Kaleb Bishop made Two Point Tip Shot.,54,64
3:14,194,Kam Williams made Jumper. Assisted by JaQuan Lyle.,54,66
3:04,161,Malik Miller made Layup. Assisted by Darian Anderson.,56,66
3:04,161,Fairleigh Dickinson  Timeout,56,66
3:04,194,Official TV Timeout,56,66
2:38,194,Kam Williams missed Layup.,56,66
2:38,194,Marc Loving Offensive Rebound.,56,66
2:30,194,Kam Williams Turnover.,56,66
1:59,161,Stephan Jiggetts made Layup.,58,66
1:36,194,Marc Loving made Jumper.,58,68
1:22,161,Stephan Jiggetts Turnover.,58,68
1:21,194,Kam Williams Steal.,58,68
0:50,194,JaQuan Lyle missed Layup.,58,68
0:50,161,Mike Holloway Defensive Rebound.,58,68
0:49,194,Foul on Jae'Sean Tate.,58,68
0:49,161,Mike Holloway made Free Throw.,59,68
0:49,161,Mike Holloway made Free Throw.,60,68
0:43,194,Micah Potter Turnover.,60,68
0:42,161,Tyrone O'Garro Steal.,60,68
0:40,161,Tyrone O'Garro made Dunk.,62,68
0:26,161,Foul on Malik Miller.,62,68
0:26,194,JaQuan Lyle made Free Throw.,62,69
0:26,194,JaQuan Lyle made Free Throw.,62,70
0:15,161,Darnell Edge missed Three Point Jumper.,62,70
0:15,194,Trevor Thompson Defensive Rebound.,62,70
0:00,194,End of Game,62,70
