Texas Southern,2751,Wyoming,2640
1:42,2751,Hayden Dalton Turnover.,62,62
1:40,2640,Derrick Bruce Steal.,62,62
1:35,2640,Demontrae Jefferson made Jumper.,64,62
1:18,2751,Alan Herndon made Jumper. Assisted by Louis Adams.,64,64
0:51,2751,Foul on Louis Adams.,64,64
0:51,2640,Trayvon Reed made Free Throw.,65,64
0:51,2640,Trayvon Reed missed Free Throw.,65,64
0:51,2751,Hayden Dalton Defensive Rebound.,65,64
0:38,2640,Foul on Demontrae Jefferson.,65,64
0:38,2751,Louis Adams made Free Throw.,65,65
0:38,2751,Louis Adams made Free Throw.,65,66
0:17,2640,Demontrae Jefferson missed Three Point Jumper.,65,66
0:17,2751,Justin James Block.,65,66
0:16,2751,Alan Herndon Defensive Rebound.,65,66
0:12,2640,Foul on Demontrae Jefferson.,65,66
0:12,2751,Justin James made Free Throw.,65,67
0:12,2751,Justin James made Free Throw.,65,68
0:12,2751,Wyoming  Timeout,65,68
0:10,2751,Foul on Louis Adams.,65,68
0:10,2640,Derrick Bruce made Free Throw.,66,68
0:10,2640,Derrick Bruce missed Free Throw.,66,68
0:10,2751,Hayden Dalton Defensive Rebound.,66,68
0:07,2751,Hayden Dalton Turnover.,66,68
0:07,2640,Texas Southern  Timeout,66,68
0:04,2640,Donte Clark Turnover.,66,68
0:04,2640,Foul on Donte Clark.,66,68
0:04,2751,Wyoming  Timeout,66,68
0:04,2640,Technical Foul on Demontrae Jefferson.,66,68
0:04,2640,Foul on Demontrae Jefferson.,66,68
0:04,2640,Technical Foul on Donte Clark.,66,68
0:04,2640,Foul on Donte Clark.,66,68
0:04,2751,Hayden Dalton missed Free Throw.,66,68
0:04,2751,Wyoming Deadball Team Rebound.,66,68
0:04,2751,Hayden Dalton made Free Throw.,66,69
0:04,2751,Hayden Dalton made Free Throw.,66,70
0:04,2751,Hayden Dalton made Free Throw.,66,71
0:04,2751,Hayden Dalton made Free Throw.,66,72
0:04,2751,Hayden Dalton missed Free Throw.,66,72
0:04,2751,Wyoming Deadball Team Rebound.,66,72
0:00,2751,End of Game,66,72
