Lamar,292,UT Rio Grande Valley,2320
2:19,2320,Zjori Bosha missed Layup.,75,88
2:19,292,Xavier McDaniel Jr. Block.,75,88
2:17,2320,Zjori Bosha Offensive Rebound.,75,88
2:14,2320,Nick Garth missed Layup.,75,88
2:14,292,Mike Hoffman Defensive Rebound.,75,88
2:13,2320,Foul on Dorian Chatman.,75,88
2:13,292,Mike Hoffman missed Free Throw.,75,88
2:13,292,UT Rio Grande Valley Deadball Team Rebound.,75,88
2:13,292,Mike Hoffman made Free Throw.,75,89
2:02,2320,Zjori Bosha missed Three Point Jumper.,75,89
2:02,2320,Colton Weisbrod Offensive Rebound.,75,89
1:58,292,Foul on Mike Hoffman.,75,89
1:58,2320,Colton Weisbrod made Free Throw.,76,89
1:58,2320,Colton Weisbrod missed Free Throw.,76,89
1:58,292,Xavier McDaniel Jr. Defensive Rebound.,76,89
1:34,292,Xavier McDaniel Jr. made Jumper. Assisted by Antonio Green.,76,91
1:24,2320,Joey Frenchwood missed Three Point Jumper.,76,91
1:24,292,Nick Dixon Defensive Rebound.,76,91
1:15,2320,Foul on Colton Weisbrod.,76,91
1:15,292,Nick Dixon missed Free Throw.,76,91
1:15,292,UT Rio Grande Valley Deadball Team Rebound.,76,91
1:15,292,Nick Dixon made Free Throw.,76,92
1:01,2320,Nick Garth made Jumper. Assisted by Joey Frenchwood.,78,92
0:48,292,Xavier McDaniel Jr. missed Layup.,78,92
0:48,2320,Christian Albright Defensive Rebound.,78,92
0:47,292,Foul on Xavier McDaniel Jr..,78,92
0:47,2320,Christian Albright missed Free Throw.,78,92
0:47,2320,Lamar Deadball Team Rebound.,78,92
0:47,2320,Christian Albright made Free Throw.,79,92
0:34,292,Lew Stallworth made Three Point Jumper. Assisted by Nick Dixon.,79,95
0:24,2320,Joey Frenchwood missed Layup.,79,95
0:24,292,Lesley Varner Jr. Defensive Rebound.,79,95
0:19,292,Nick Dixon Turnover.,79,95
0:17,2320,Joey Frenchwood Steal.,79,95
0:14,2320,Joey Frenchwood made Layup. Assisted by Zjori Bosha.,81,95
0:00,292,End of Game,81,95
