UNC Wilmington,2166,Davidson,350
2:41,2166,Jon Axel Gudmundsson made Free Throw.,78,99
2:41,2166,Jon Axel Gudmundsson made Free Throw.,78,100
2:30,350,Devontae Cacok missed Layup.,78,100
2:30,2166,Kellan Grady Defensive Rebound.,78,100
2:11,2166,Jon Axel Gudmundsson made Layup.,78,102
2:11,350,Foul on Nick Powell.,78,102
2:11,2166,Jon Axel Gudmundsson made Free Throw.,78,103
1:45,350,Ty Taylor II missed Three Point Jumper.,78,103
1:45,350,Marcus Bryan Offensive Rebound.,78,103
1:43,350,Jacque Brown made Jumper.,80,103
1:11,2166,Rusty Reigel made Three Point Jumper.,80,106
0:55,350,Jacque Brown Turnover.,80,106
0:53,2166,Kellan Grady Steal.,80,106
0:51,2166,Kellan Grady made Layup.,80,108
0:48,2166,Davidson  Timeout,80,108
0:28,2166,Foul on Cal Freundlich.,80,108
0:28,350,Nick Powell made Free Throw.,81,108
0:28,350,Nick Powell missed Free Throw.,81,108
0:28,2166,Bates Jones Defensive Rebound.,81,108
