Denver,526,Florida Gulf Coast,2172
0:55,526,Ricky Doyle made Free Throw.,65,73
0:41,2172,Jake Krafka made Layup.,67,73
0:41,2172,Denver  Timeout,67,73
0:38,2172,Foul on Ade Murkey.,67,73
0:38,526,Zach Johnson made Free Throw.,67,74
0:38,526,Zach Johnson made Free Throw.,67,75
0:31,2172,Joe Rosga missed Three Point Jumper.,67,75
0:31,2172,Ade Murkey Offensive Rebound.,67,75
0:26,2172,Elvin Rodriguez missed Jumper.,67,75
0:26,2172,Jake Krafka Offensive Rebound.,67,75
0:22,2172,Jake Krafka made Layup.,69,75
0:22,2172,Denver  Timeout,69,75
0:13,526,RaySean Scott Jr. made Layup. Assisted by Zach Johnson.,69,77
0:10,2172,Jake Pemberton Turnover.,69,77
0:10,526,Zach Johnson Steal.,69,77
0:10,2172,Foul on Elvin Rodriguez.,69,77
0:10,526,Zach Johnson made Free Throw.,69,78
0:10,526,Zach Johnson made Free Throw.,69,79
0:07,526,Foul on RaySean Scott Jr..,69,79
0:07,2172,Elvin Rodriguez made Free Throw.,70,79
0:07,2172,Elvin Rodriguez made Free Throw.,71,79
0:00,526,End of Game,71,79
