East-West University,2130,Chicago State,3107
11:26,-1,Cortland Gillespie made Free Throw.,44,79
11:26,-1,Cortland Gillespie made Free Throw.,45,79
11:24,2130,Anthony Harris Turnover.,45,79
11:20,-1,Patrick Rucker Steal.,45,79
11:06,-1,Sherman Carter Turnover.,45,79
10:50,2130,Foul on Patrick Szpir.,45,79
10:50,2130,Patrick Szpir Turnover.,45,79
10:35,-1,Sherman Carter made Layup.,47,79
10:32,2130,Foul on Simeon Henton.,47,79
10:21,-1,Sherman Carter made Free Throw.,48,79
10:21,-1,East-West University  Timeout,48,79
10:17,2130,Deionte Simmons made Dunk. Assisted by Montana Byrd.,48,81
10:06,-1,Cortland Gillespie missed Jumper.,48,81
10:06,2130,Glen Burns Defensive Rebound.,48,81
9:59,2130,Fred Sims Jr. missed Layup.,48,81
9:59,-1,East-West University Defensive Rebound.,48,81
9:55,-1,Sherman Carter missed Jumper.,48,81
9:55,2130,Deionte Simmons Defensive Rebound.,48,81
9:50,2130,Fred Sims Jr. made Layup. Assisted by Glen Burns.,48,83
9:29,-1,Cortland Gillespie missed Layup.,48,83
9:29,-1,East-West University Offensive Rebound.,48,83
9:25,-1,Patrick Rucker made Jumper.,50,83
9:07,2130,Montana Byrd missed Three Point Jumper.,50,83
9:07,2130,Deionte Simmons Offensive Rebound.,50,83
9:03,2130,Deionte Simmons Turnover.,50,83
8:51,-1,Patrick Rucker made Jumper.,52,83
8:36,2130,Fred Sims Jr. made Layup. Assisted by Jelani Pruitt.,52,85
8:22,-1,Patrick Rucker missed Layup.,52,85
8:22,2130,Deionte Simmons Block.,52,85
8:20,2130,Glen Burns Defensive Rebound.,52,85
8:17,2130,Jelani Pruitt made Dunk. Assisted by Glen Burns.,52,87
8:07,-1,Technical Foul on Patrick Rucker.,52,87
8:07,2130,Technical Foul on Deionte Simmons.,52,87
8:07,2130,Foul on Deionte Simmons.,52,87
8:07,-1,Foul on Patrick Rucker.,52,87
8:05,-1,Eric Spencer missed Jumper.,52,87
8:05,2130,Fred Sims Jr. Defensive Rebound.,52,87
7:58,2130,Fred Sims Jr. missed Layup.,52,87
7:58,2130,Jalen Stephens-Holmes Offensive Rebound.,52,87
7:47,2130,Montana Byrd missed Layup.,52,87
7:47,-1,Eric Spencer Block.,52,87
7:45,-1,Eric Spencer Defensive Rebound.,52,87
7:42,2130,Foul on Jelani Pruitt.,52,87
7:42,2130,Official TV Timeout,52,87
7:42,2130,Foul on Montana Byrd.,52,87
7:42,2130,Technical Foul on Montana Byrd.,52,87
7:42,-1,Technical Foul on Eric Spencer.,52,87
7:42,-1,Foul on Eric Spencer.,52,87
7:42,-1,Brian Ashbury missed Free Throw.,52,87
7:42,-1,East-West University Deadball Team Rebound.,52,87
7:42,-1,Brian Ashbury missed Free Throw.,52,87
7:42,2130,Jelani Pruitt Defensive Rebound.,52,87
7:17,-1,Foul on Scherone Clark.,52,87
7:17,2130,Jelani Pruitt missed Free Throw.,52,87
7:17,2130,Chicago State Deadball Team Rebound.,52,87
7:17,2130,Jelani Pruitt missed Free Throw.,52,87
7:17,2130,Jelani Pruitt Offensive Rebound.,52,87
6:57,2130,Fred Sims Jr. made Jumper.,52,89
6:46,-1,Sherman Carter Turnover.,52,89
6:34,2130,Travon Bell made Layup. Assisted by Jelani Pruitt.,52,91
6:11,-1,Cortland Gillespie missed Three Point Jumper.,52,91
6:11,2130,Travon Bell Defensive Rebound.,52,91
6:03,2130,Alex Dubovitskiy made Dunk. Assisted by Travon Bell.,52,93
5:47,-1,Brian Ashbury missed Layup.,52,93
5:47,2130,Jelani Pruitt Defensive Rebound.,52,93
5:38,2130,Travon Bell missed Layup.,52,93
5:38,-1,Eric Spencer Block.,52,93
5:36,2130,Jalen Stephens-Holmes Offensive Rebound.,52,93
5:35,2130,Jalen Stephens-Holmes made Layup.,52,95
5:35,2130,Chicago State  Timeout,52,95
5:25,-1,Sherman Carter missed Three Point Jumper.,52,95
5:25,2130,Nathan Townsen Jr. Defensive Rebound.,52,95
5:00,2130,Rob Shaw made Layup. Assisted by Simeon Henton.,52,97
4:53,-1,Roland Watkins missed Layup.,52,97
4:53,2130,Cameron Bowles Defensive Rebound.,52,97
4:49,2130,Nathan Townsen Jr. made Layup. Assisted by Simeon Henton.,52,99
4:44,2130,Foul on Nathan Townsen Jr..,52,99
4:44,-1,Sherman Carter made Free Throw.,53,99
4:44,-1,Sherman Carter made Free Throw.,54,99
4:35,2130,Rob Shaw missed Layup.,54,99
4:35,-1,Roland Watkins Defensive Rebound.,54,99
4:28,-1,Roland Watkins missed Layup.,54,99
4:28,2130,Travon Bell Block.,54,99
4:26,2130,Nathan Townsen Jr. Defensive Rebound.,54,99
4:23,2130,Simeon Henton made Layup. Assisted by Nathan Townsen Jr..,54,101
4:07,-1,Cortland Gillespie Turnover.,54,101
4:07,2130,Simeon Henton Steal.,54,101
3:59,2130,Travon Bell made Layup. Assisted by Rob Shaw.,54,103
3:41,2130,Foul on Cameron Bowles.,54,103
3:41,2130,Official TV Timeout,54,103
3:41,-1,Sherman Carter missed Free Throw.,54,103
3:41,-1,East-West University Deadball Team Rebound.,54,103
3:41,-1,Sherman Carter made Free Throw.,55,103
3:33,2130,Patrick Szpir made Layup. Assisted by Simeon Henton.,55,105
3:20,-1,Cortland Gillespie made Three Point Jumper. Assisted by Sherman Carter.,58,105
3:12,2130,Simeon Henton Turnover.,58,105
3:05,-1,Sherman Carter missed Three Point Jumper.,58,105
3:05,2130,Travon Bell Defensive Rebound.,58,105
2:43,2130,Simeon Henton missed Layup.,58,105
2:43,-1,East-West University Defensive Rebound.,58,105
2:28,-1,Cortland Gillespie made Three Point Jumper.,61,105
2:17,-1,Foul on Scherone Clark.,61,105
2:17,2130,Patrick Szpir made Free Throw.,61,106
2:17,2130,Patrick Szpir made Free Throw.,61,107
1:59,-1,Brian Ashbury Turnover.,61,107
1:57,2130,Travon Bell Steal.,61,107
1:37,-1,Foul on Scherone Clark.,61,107
1:37,2130,Patrick Szpir made Free Throw.,61,108
1:37,2130,Patrick Szpir made Free Throw.,61,109
1:28,-1,Roland Watkins Turnover.,61,109
1:27,2130,Simeon Henton Steal.,61,109
1:24,2130,Simeon Henton made Dunk. Assisted by Travon Bell.,61,111
1:06,2130,Foul on Simeon Henton.,61,111
1:06,-1,Cortland Gillespie made Free Throw.,62,111
1:06,-1,Cortland Gillespie made Free Throw.,63,111
0:59,2130,Patrick Szpir missed Layup.,63,111
0:59,-1,Roland Watkins Defensive Rebound.,63,111
0:53,2130,Foul on Travon Bell.,63,111
0:53,-1,Sherman Carter made Free Throw.,64,111
0:53,-1,Sherman Carter made Free Throw.,65,111
0:46,2130,Patrick Szpir missed Layup.,65,111
0:46,-1,Scherone Clark Block.,65,111
0:44,2130,Chicago State Offensive Rebound.,65,111
0:40,2130,Patrick Szpir made Layup. Assisted by Travon Bell.,65,113
0:18,-1,Roland Watkins missed Three Point Jumper.,65,113
0:18,2130,Rob Shaw Defensive Rebound.,65,113
0:00,2130,End of Game,65,113
