The Citadel,259,Virginia Tech,2643
13:39,2643,Quayson Williams Offensive Rebound.,67,87
13:38,2643,Quayson Williams missed Two Point Tip Shot.,67,87
13:38,259,Justin Robinson Defensive Rebound.,67,87
13:38,2643,Foul on Kaelon Harris.,67,87
13:38,2643,Foul on Kaelon Harris.,67,87
13:38,2643,Technical Foul on Kaelon Harris.,67,87
13:38,259,Justin Robinson missed Free Throw.,67,87
13:38,259,Virginia Tech Deadball Team Rebound.,67,87
13:38,259,Justin Robinson missed Free Throw.,67,87
13:38,259,Virginia Tech Deadball Team Rebound.,67,87
13:14,259,Ahmed Hill missed Three Point Jumper.,67,87
13:14,259,Virginia Tech Offensive Rebound.,67,87
13:09,259,Turnover.,67,87
13:08,2643,Preston Parks Steal.,67,87
12:59,2643,Hayden Brown made Layup.,69,87
12:41,259,made Layup. Assisted by Chris Clarke.,69,89
12:31,2643,Zane Najdawi made Layup.,71,89
12:11,2643,Foul on Zane Najdawi.,71,89
12:11,259,Nickeil Alexander-Walker made Free Throw.,71,90
12:11,259,Nickeil Alexander-Walker made Free Throw.,71,91
12:00,2643,Zane Najdawi missed Three Point Jumper.,71,91
12:00,259,Wabissa Bede Defensive Rebound.,71,91
11:50,259,Chris Clarke made Layup. Assisted by Wabissa Bede.,71,93
11:50,2643,Foul on Zane Najdawi.,71,93
11:50,259,Official TV Timeout,71,93
11:50,259,Chris Clarke made Free Throw.,71,94
11:41,2643,Tariq Simmons Turnover.,71,94
11:40,259,Wabissa Bede Steal.,71,94
11:36,2643,Foul on Derek Webster Jr..,71,94
11:36,259,Wabissa Bede made Free Throw.,71,95
11:36,259,Wabissa Bede made Free Throw.,71,96
11:23,2643,Frankie Johnson missed Three Point Jumper.,71,96
11:23,259,Defensive Rebound.,71,96
11:17,259,Ahmed Hill made Layup. Assisted by Chris Clarke.,71,98
11:06,259,Foul on Tyrie Jackson.,71,98
10:58,259,Foul on Wabissa Bede.,71,98
10:47,2643,Derek Webster Jr. Turnover.,71,98
10:33,259,made Layup. Assisted by Chris Clarke.,71,100
10:26,2643,Matt Frierson made Three Point Jumper. Assisted by Frankie Johnson.,74,100
9:54,259,Wabissa Bede made Three Point Jumper. Assisted by Chris Clarke.,74,103
9:41,2643,Hayden Brown missed Three Point Jumper.,74,103
9:41,259,Tyrie Jackson Defensive Rebound.,74,103
9:35,259,Turnover.,74,103
9:34,2643,Hayden Brown Steal.,74,103
9:31,259,Foul on Wabissa Bede.,74,103
9:31,2643,Kaelon Harris made Free Throw.,75,103
9:31,2643,Kaelon Harris missed Free Throw.,75,103
9:31,259,Tyrie Jackson Defensive Rebound.,75,103
9:26,259,Tyrie Jackson Turnover.,75,103
9:26,259,Foul on Tyrie Jackson.,75,103
9:14,2643,Hayden Brown made Layup.,77,103
9:09,259,Chris Clarke Turnover.,77,103
9:01,2643,Matt Frierson missed Three Point Jumper.,77,103
9:01,259,Wabissa Bede Defensive Rebound.,77,103
8:51,259,P.J. Horne Turnover.,77,103
8:50,2643,Preston Parks Steal.,77,103
8:47,2643,Hayden Brown made Dunk. Assisted by Preston Parks.,79,103
8:42,259,Tyrie Jackson Turnover.,79,103
8:41,2643,Matt Frierson Steal.,79,103
8:39,2643,Matt Frierson missed Three Point Jumper.,79,103
8:39,2643,Hayden Brown Offensive Rebound.,79,103
8:32,2643,Frankie Johnson made Three Point Jumper. Assisted by Hayden Brown.,82,103
8:31,2643,The Citadel  Timeout,82,103
8:31,259,Devin Wilson Turnover.,82,103
8:31,259,Foul on Justin Robinson.,82,103
8:30,2643,Kaelon Harris Turnover.,82,103
8:30,2643,Foul on Kaelon Harris.,82,103
8:19,259,Nickeil Alexander-Walker made Layup.,82,105
8:10,259,Foul on Devin Wilson.,82,105
8:10,2643,Hayden Brown made Free Throw.,83,105
8:10,2643,Hayden Brown made Free Throw.,84,105
8:05,2643,Foul on Hayden Brown.,84,105
8:05,259,Nickeil Alexander-Walker missed Free Throw.,84,105
8:05,259,Virginia Tech Deadball Team Rebound.,84,105
8:05,259,Nickeil Alexander-Walker missed Free Throw.,84,105
8:05,2643,Quayson Williams Defensive Rebound.,84,105
7:56,2643,Tariq Simmons missed Layup.,84,105
7:56,259,Defensive Rebound.,84,105
7:42,259,Devin Wilson made Layup.,84,107
7:34,2643,Quayson Williams made Layup.,86,107
7:16,259,Ahmed Hill made Three Point Jumper.,86,110
7:05,2643,Quayson Williams missed Three Point Jumper.,86,110
7:05,259,Defensive Rebound.,86,110
6:43,259,Ahmed Hill made Three Point Jumper.,86,113
6:39,2643,Quayson Williams missed Three Point Jumper.,86,113
6:39,259,Defensive Rebound.,86,113
6:29,2643,Foul on Hayden Brown.,86,113
6:29,259,Official TV Timeout,86,113
6:29,259,Nickeil Alexander-Walker made Free Throw.,86,114
6:29,259,Nickeil Alexander-Walker made Free Throw.,86,115
6:15,2643,Tariq Simmons missed Layup.,86,115
6:15,259,Chris Clarke Defensive Rebound.,86,115
