Coppin State,151,East Carolina,2154
10:52,151,B.J. Tyson made Free Throw.,32,51
10:52,151,B.J. Tyson made Free Throw.,32,52
10:33,2154,Lucian Brownlee missed Three Point Jumper.,32,52
10:33,151,Kentrell Barkley Defensive Rebound.,32,52
10:13,151,Justin Whatley made Three Point Jumper. Assisted by B.J. Tyson.,32,55
9:57,151,Foul on Usman Haruna.,32,55
9:46,151,Foul on Dimitri Spasojevic.,32,55
9:46,2154,Lamar Morgan made Free Throw.,33,55
9:46,2154,Lamar Morgan made Free Throw.,34,55
9:34,2154,Foul on Adam Traore.,34,55
9:34,151,Jabari Craig missed Free Throw.,34,55
9:34,151,East Carolina Deadball Team Rebound.,34,55
9:33,151,Dimitri Spasojevic Turnover.,34,55
9:11,2154,Lamar Morgan missed Layup.,34,55
9:11,2154,Adam Traore Offensive Rebound.,34,55
9:07,151,Foul on Dimitri Spasojevic.,34,55
9:07,2154,Adam Traore made Free Throw.,35,55
9:07,2154,Adam Traore made Free Throw.,36,55
8:53,151,Kentrell Barkley Turnover.,36,55
8:39,2154,Cedric Council Jr. made Three Point Jumper. Assisted by Tre' Thomas.,39,55
8:23,2154,Foul on Adam Traore.,39,55
8:23,151,B.J. Tyson made Free Throw.,39,56
8:23,151,B.J. Tyson made Free Throw.,39,57
8:08,151,Foul on Isaac Fleming.,39,57
8:07,2154,Dejuan Clayton made Free Throw.,40,57
8:07,2154,Dejuan Clayton made Free Throw.,41,57
7:53,151,Kentrell Barkley made Layup.,41,59
7:51,2154,Coppin State  Timeout,41,59
7:45,2154,Lamar Morgan Turnover.,41,59
7:45,151,Official TV Timeout,41,59
7:32,151,Justin Whatley Turnover.,41,59
7:14,2154,Lamar Morgan missed Three Point Jumper.,41,59
7:14,151,Jabari Craig Defensive Rebound.,41,59
6:59,151,Isaac Fleming missed Three Point Jumper.,41,59
6:59,2154,Cedric Council Jr. Defensive Rebound.,41,59
6:40,2154,Keandre Fair Turnover.,41,59
6:30,151,Isaac Fleming missed Layup.,41,59
6:30,2154,Lamar Morgan Defensive Rebound.,41,59
6:21,2154,Cedric Council Jr. missed Three Point Jumper.,41,59
6:21,151,Justin Whatley Defensive Rebound.,41,59
6:08,151,Jabari Craig missed Dunk.,41,59
6:08,151,Kentrell Barkley Offensive Rebound.,41,59
6:05,151,Kentrell Barkley made Layup.,41,61
6:05,2154,Foul on Cedric Council Jr..,41,61
6:05,151,Kentrell Barkley made Free Throw.,41,62
5:56,2154,Dejuan Clayton missed Three Point Jumper.,41,62
5:56,151,Kentrell Barkley Defensive Rebound.,41,62
5:41,151,B.J. Tyson Turnover.,41,62
5:39,2154,Dejuan Clayton Steal.,41,62
5:35,2154,Dejuan Clayton Turnover.,41,62
5:20,151,Isaac Fleming Turnover.,41,62
5:20,2154,Dejuan Clayton Steal.,41,62
5:20,151,Foul on Jabari Craig.,41,62
5:20,2154,Dejuan Clayton made Free Throw.,42,62
5:20,2154,Dejuan Clayton missed Free Throw.,42,62
5:20,151,Kentrell Barkley Defensive Rebound.,42,62
5:04,151,Shawn Williams missed Three Point Jumper.,42,62
5:04,151,Justin Whatley Offensive Rebound.,42,62
4:37,151,K.J. Davis made Jumper. Assisted by Kentrell Barkley.,42,64
4:13,2154,Tre' Thomas missed Layup.,42,64
4:13,151,Shawn Williams Defensive Rebound.,42,64
4:07,151,Shawn Williams made Layup.,42,66
4:07,2154,Foul on Dejuan Clayton.,42,66
4:07,2154,Technical Foul on Lamar Morgan.,42,66
4:07,2154,Foul on Lamar Morgan.,42,66
4:07,151,Shawn Williams made Free Throw.,42,67
4:07,151,Shawn Williams made Free Throw.,42,68
4:07,151,Shawn Williams made Free Throw.,42,69
4:01,2154,Dejuan Clayton made Layup.,44,69
3:47,2154,Foul on Joel Boyce.,44,69
3:47,151,Official TV Timeout,44,69
3:47,151,Justin Whatley missed Free Throw.,44,69
3:47,151,East Carolina Deadball Team Rebound.,44,69
3:47,151,Justin Whatley made Free Throw.,44,70
3:37,2154,Keandre Fair made Three Point Jumper.,47,70
3:20,2154,Foul on Tre' Thomas.,47,70
3:20,151,Kentrell Barkley made Free Throw.,47,71
3:20,151,Kentrell Barkley made Free Throw.,47,72
3:10,2154,Adam Traore missed Layup.,47,72
3:10,151,K.J. Davis Defensive Rebound.,47,72
2:51,151,Kentrell Barkley made Jumper.,47,74
2:33,2154,Keandre Fair missed Three Point Jumper.,47,74
2:33,151,K.J. Davis Defensive Rebound.,47,74
2:14,151,K.J. Davis missed Jumper.,47,74
2:14,2154,Adam Traore Defensive Rebound.,47,74
1:59,2154,Keandre Fair made Three Point Jumper. Assisted by Tre' Thomas.,50,74
1:30,151,Justice Obasohan missed Jumper.,50,74
1:30,2154,Joel Boyce Defensive Rebound.,50,74
1:20,2154,Tre' Thomas missed Three Point Jumper.,50,74
1:20,151,John Whitley Defensive Rebound.,50,74
1:04,151,Foul on Jabari Craig.,50,74
1:04,151,Jabari Craig Turnover.,50,74
0:40,2154,Joel Boyce missed Layup.,50,74
0:40,151,Addison Hill Defensive Rebound.,50,74
0:29,151,Justice Obasohan made Jumper. Assisted by Addison Hill.,50,76
0:14,2154,Adam Traore missed Layup.,50,76
0:14,2154,Coppin State Offensive Rebound.,50,76
0:03,2154,Joel Boyce missed Three Point Jumper.,50,76
0:03,151,Addison Hill Defensive Rebound.,50,76
0:00,151,End of Game,50,76
