Chicago State,2509,Purdue,2130
5:08,2509,Foul on Eden Ewing.,36,95
5:08,2509,Eden Ewing Turnover.,36,95
5:08,2130,Alex Dubovitskiy missed Free Throw.,36,95
5:08,2509,Jacquil Taylor Defensive Rebound.,36,95
4:51,2509,Matt Haarms made Jumper. Assisted by Jacquil Taylor.,36,97
4:50,2130,Foul on Deionte Simmons.,36,97
4:50,2509,Matt Haarms made Free Throw.,36,98
4:39,2509,Foul on Tommy Luce.,36,98
4:39,2130,Nathan Townsen Jr. made Free Throw.,37,98
4:39,2130,Nathan Townsen Jr. made Free Throw.,38,98
4:26,2509,Matt Haarms made Jumper.,38,100
4:11,2509,Foul on Eden Ewing.,38,100
4:11,2130,Nathan Townsen Jr. made Free Throw.,39,100
4:11,2130,Nathan Townsen Jr. made Free Throw.,40,100
3:59,2509,Grady Eifert made Layup. Assisted by Tommy Luce.,40,102
3:49,2130,Glen Burns missed Jumper.,40,102
3:48,2509,Jacquil Taylor Block.,40,102
3:47,2509,Matt Haarms Defensive Rebound.,40,102
3:42,2130,Foul on Alex Dubovitskiy.,40,102
3:42,2509,Official TV Timeout,40,102
3:42,2509,Eden Ewing missed Free Throw.,40,102
3:42,2509,Purdue Deadball Team Rebound.,40,102
3:42,2509,Eden Ewing made Free Throw.,40,103
3:32,2130,John Joyce made Layup. Assisted by Glen Burns.,42,103
3:18,2509,Grady Eifert made Layup. Assisted by Tommy Luce.,42,105
2:53,2130,John Joyce missed Three Point Jumper.,42,105
2:53,2509,Matt Haarms Defensive Rebound.,42,105
2:34,2509,Jacquil Taylor made Jumper. Assisted by Tommy Luce.,42,107
2:13,2130,John Joyce missed Three Point Jumper.,42,107
2:13,2509,Matt Haarms Defensive Rebound.,42,107
2:04,2130,Foul on Nathan Townsen Jr..,42,107
2:04,2509,Tommy Luce missed Free Throw.,42,107
2:04,2509,Purdue Deadball Team Rebound.,42,107
2:04,2509,Tommy Luce missed Free Throw.,42,107
2:04,2130,Deionte Simmons Defensive Rebound.,42,107
1:59,2130,Glen Burns missed Layup.,42,107
1:59,2509,Grady Eifert Defensive Rebound.,42,107
1:43,2509,Grady Eifert made Layup. Assisted by Jacquil Taylor.,42,109
1:28,2509,Foul on Jacquil Taylor.,42,109
1:28,2130,Simeon Henton missed Free Throw.,42,109
1:28,2130,Chicago State Deadball Team Rebound.,42,109
1:28,2130,Simeon Henton missed Free Throw.,42,109
1:28,2509,Tommy Luce Defensive Rebound.,42,109
1:18,2509,Tommy Luce made Jumper.,42,111
1:10,2130,Travon Bell missed Jumper.,42,111
1:10,2509,Jacquil Taylor Defensive Rebound.,42,111
0:53,2509,Grady Eifert missed Three Point Jumper.,42,111
0:53,2130,Jalen Stephens-Holmes Defensive Rebound.,42,111
0:35,2130,John Joyce missed Three Point Jumper.,42,111
0:35,2509,Grady Eifert Defensive Rebound.,42,111
0:00,2509,End of Game,42,111
