Florida Gulf Coast,127,Michigan State,526
4:44,127,Michigan St Deadball Team Rebound.,64,63
4:44,127,Eron Harris made Free Throw.,64,64
4:25,526,Demetris Morant made Dunk. Assisted by Brandon Goodwin.,66,64
4:08,127,Eron Harris missed Jumper.,66,64
4:08,526,Antravious Simmons Defensive Rebound.,66,64
3:43,526,Brandon Goodwin made Layup.,68,64
3:32,127,Michigan St  Timeout,68,64
3:32,127,Official TV Timeout,68,64
3:24,526,Foul on Demetris Morant.,68,64
3:24,127,Official TV Timeout,68,64
3:24,127,Miles Bridges made Free Throw.,68,65
3:24,127,Miles Bridges missed Free Throw.,68,65
3:24,127,Kenny Goins Offensive Rebound.,68,65
3:18,127,Eron Harris made Three Point Jumper. Assisted by Lourawls Nairn Jr..,68,68
2:52,526,Zach Johnson made Three Point Jumper. Assisted by Christian Terrell.,71,68
2:26,127,Miles Bridges missed Layup.,71,68
2:26,526,Antravious Simmons Defensive Rebound.,71,68
2:00,526,Christian Terrell missed Jumper.,71,68
2:00,127,Miles Bridges Defensive Rebound.,71,68
1:52,127,Eron Harris made Three Point Jumper.,71,71
1:32,526,Brandon Goodwin missed Three Point Jumper.,71,71
1:32,127,Joshua Langford Defensive Rebound.,71,71
1:28,526,Foul on Demetris Morant.,71,71
1:28,127,Joshua Langford made Free Throw.,71,72
1:28,127,Joshua Langford made Free Throw.,71,73
1:03,526,RaySean Scott Jr. missed Three Point Jumper.,71,73
1:03,526,Brandon Goodwin Offensive Rebound.,71,73
0:58,526,Christian Terrell made Layup. Assisted by Brandon Goodwin.,73,73
0:54,127,Michigan St  Timeout,73,73
0:49,127,Miles Bridges made Layup. Assisted by Cassius Winston.,73,75
0:44,526,Florida Gulf Coast  Timeout,73,75
0:39,526,RaySean Scott Jr. missed Layup.,73,75
0:39,526,Zach Johnson Offensive Rebound.,73,75
0:38,526,Zach Johnson made Dunk.,75,75
0:22,127,Michigan St  Timeout,75,75
0:22,526,Foul on Brandon Goodwin.,75,75
0:22,127,Cassius Winston made Free Throw.,75,76
0:22,127,Cassius Winston missed Free Throw.,75,76
0:22,127,Cassius Winston Offensive Rebound.,75,76
0:16,526,Foul on RaySean Scott Jr..,75,76
0:16,127,Miles Bridges made Free Throw.,75,77
0:16,127,Miles Bridges made Free Throw.,75,78
0:08,526,Christian Terrell made Layup.,77,78
0:03,526,Foul on Brandon Goodwin.,77,78
0:03,127,Eron Harris missed Free Throw.,77,78
0:03,127,Michigan St Deadball Team Rebound.,77,78
0:03,127,Eron Harris missed Free Throw.,77,78
0:03,526,Antravious Simmons Defensive Rebound.,77,78
0:02,526,Florida Gulf Coast  Timeout,77,78
0:00,127,End of Game,77,78
