Eastern Illinois,71,Bradley,2197
1:06,2197,Foul on Terrell Lewis.,54,61
1:06,71,Elijah Childs made Free Throw.,54,62
1:06,71,Elijah Childs missed Free Throw.,54,62
1:06,71,Elijah Childs Offensive Rebound.,54,62
0:58,2197,Foul on Terrell Lewis.,54,62
0:58,71,Jayden Hodgson made Free Throw.,54,63
0:58,71,Jayden Hodgson made Free Throw.,54,64
0:51,2197,Jajuan Starks missed Three Point Jumper.,54,64
0:51,2197,Ray Crossland Offensive Rebound.,54,64
0:35,2197,Jajuan Starks Turnover.,54,64
0:34,71,Koch Bar Steal.,54,64
0:33,2197,Foul on Jajuan Starks.,54,64
0:33,71,Jayden Hodgson made Free Throw.,54,65
0:33,71,Jayden Hodgson made Free Throw.,54,66
0:28,2197,Muusa Dama made Jumper.,56,66
0:23,2197,Foul on Montell Goodwin.,56,66
0:23,71,Jayden Hodgson missed Free Throw.,56,66
0:23,71,Bradley Deadball Team Rebound.,56,66
0:23,71,Jayden Hodgson made Free Throw.,56,67
0:21,2197,Terrell Lewis missed Three Point Jumper.,56,67
0:21,71,Jayden Hodgson Defensive Rebound.,56,67
0:00,71,End of Game,56,67
