Georgia,2239,CS Fullerton,61
1:00,61,Nicolas Claxton missed Free Throw.,57,50
1:00,61,Georgia Deadball Team Rebound.,57,50
1:00,61,Nicolas Claxton made Free Throw.,58,50
0:51,2239,Dwight Ramos missed Three Point Jumper.,58,50
0:51,61,Rayshaun Hammonds Defensive Rebound.,58,50
0:48,2239,Foul on Jackson Rowe.,58,50
0:48,61,Yante Maten made Free Throw.,59,50
0:48,61,Yante Maten made Free Throw.,60,50
0:38,61,Foul on Nicolas Claxton.,60,50
0:38,2239,Kyle Allman missed Free Throw.,60,50
0:38,2239,CSU Fullerton Deadball Team Rebound.,60,50
0:38,2239,Kyle Allman made Free Throw.,60,51
0:38,2239,Kyle Allman made Free Throw.,60,52
0:37,2239,Foul on Dwight Ramos.,60,52
0:37,61,Juwan Parker made Free Throw.,61,52
0:37,61,Juwan Parker made Free Throw.,62,52
0:26,2239,Kyle Allman made Layup.,62,54
0:23,2239,Foul on Jamal Smith.,62,54
0:23,61,William Jackson II made Free Throw.,63,54
0:23,61,William Jackson II made Free Throw.,64,54
0:14,2239,Kyle Allman made Three Point Jumper. Assisted by Jamal Smith.,64,57
0:00,2239,End of Game,64,57
