Colgate,171,Columbia,2142
2:14,2142,Jordan Swopshire Defensive Rebound.,71,74
2:03,2142,Jordan Swopshire made Three Point Jumper.,74,74
1:44,171,Nate Hickman missed Layup.,74,74
1:44,2142,Nathan Harries Defensive Rebound.,74,74
1:17,2142,Jordan Swopshire missed Layup.,74,74
1:17,171,Luke Petrasek Defensive Rebound.,74,74
0:50,171,Luke Petrasek missed Jumper.,74,74
0:50,171,Quinton Adlesh Offensive Rebound.,74,74
0:42,171,Quinton Adlesh made Two Point Tip Shot.,74,76
0:37,2142,Colgate  Timeout,74,76
0:30,2142,Jordan Swopshire missed Three Point Jumper.,74,76
0:30,2142,Tom Rivard Offensive Rebound.,74,76
0:24,2142,Francisco Amiel missed Three Point Jumper.,74,76
0:24,2142,Jordan Swopshire Offensive Rebound.,74,76
0:19,171,Foul on Quinton Adlesh.,74,76
0:19,2142,Jordan Swopshire made Free Throw.,75,76
0:19,2142,Jordan Swopshire missed Free Throw.,75,76
0:19,171,Luke Petrasek Defensive Rebound.,75,76
0:16,2142,Foul on Jordan Swopshire.,75,76
0:15,171,Luke Petrasek made Free Throw.,75,77
0:15,171,Luke Petrasek made Free Throw.,75,78
0:13,2142,Nathan Harries made Three Point Jumper. Assisted by Sean O'Brien.,78,78
0:03,171,Nate Hickman made Three Point Jumper. Assisted by Mike Smith.,78,81
0:01,2142,Colgate  Timeout,78,81
0:01,171,Columbia  Timeout,78,81
0:00,171,End of Game,78,81
