Jackson State,2433,UL Monroe,2296
9:12,2296,Jackson State Offensive Rebound.,44,47
9:04,2296,Charles Taylor Jr. missed Layup.,44,47
9:04,2433,Michael Ertel Defensive Rebound.,44,47
8:53,2433,Travis Munnings made Three Point Jumper. Assisted by Marvin Jean-Pierre.,44,50
8:32,2296,Jeremiah Jefferson missed Layup.,44,50
8:32,2433,Sam McDaniel Block.,44,50
8:31,2296,Jackson State Offensive Rebound.,44,50
8:29,2296,Maurice Rivers made Jumper. Assisted by Jesse Love.,46,50
8:14,2433,Marvin Jean-Pierre made Layup. Assisted by Sam McDaniel.,46,52
8:14,2296,Foul on Chace Franklin.,46,52
8:14,2433,Marvin Jean-Pierre made Free Throw.,46,53
8:00,2296,Chace Franklin missed Jumper.,46,53
8:00,2433,Travis Munnings Defensive Rebound.,46,53
7:50,2433,Official TV Timeout,46,53
7:27,2433,Sam McDaniel made Jumper.,46,55
7:09,2296,Maurice Rivers missed Jumper.,46,55
7:09,2433,Michael Ertel Defensive Rebound.,46,55
6:39,2433,Michael Ertel missed Three Point Jumper.,46,55
6:39,2433,Travis Munnings Offensive Rebound.,46,55
6:19,2433,UL Monroe  Timeout,46,55
6:19,2433,Official TV Timeout,46,55
6:09,2433,Marvin Jean-Pierre missed Three Point Jumper.,46,55
6:09,2433,Marvin Jean-Pierre Offensive Rebound.,46,55
5:48,2433,Michael Ertel missed Jumper.,46,55
5:48,2433,Marvin Jean-Pierre Offensive Rebound.,46,55
5:43,2433,Marvin Jean-Pierre made Layup.,46,57
5:26,2296,Paris Collins missed Layup.,46,57
5:26,2296,Paris Collins Offensive Rebound.,46,57
5:18,2296,Chace Franklin missed Three Point Jumper.,46,57
5:18,2433,Jordon Harris Defensive Rebound.,46,57
4:54,2296,Foul on Chace Franklin.,46,57
4:37,2433,Sam McDaniel made Jumper.,46,59
4:19,2296,Darius Austin Turnover.,46,59
3:57,2433,Official TV Timeout,46,59
3:57,2433,Marvin Jean-Pierre Turnover.,46,59
3:57,2433,Official TV Timeout,46,59
3:48,2433,Foul on Michael Ertel.,46,59
3:45,2296,Maurice Rivers missed Jumper.,46,59
3:45,2433,Sam McDaniel Defensive Rebound.,46,59
3:29,2433,Sam McDaniel Turnover.,46,59
3:08,2296,Foul on Darius Austin.,46,59
3:08,2296,Darius Austin Turnover.,46,59
2:39,2433,Michael Ertel missed Three Point Jumper.,46,59
2:39,2296,Paris Collins Defensive Rebound.,46,59
2:25,2296,Jeremiah Jefferson made Three Point Jumper. Assisted by Julian Daughtry.,49,59
1:54,2433,Jordon Harris missed Three Point Jumper.,49,59
1:54,2296,Paris Collins Defensive Rebound.,49,59
1:31,2296,Jeremiah Jefferson missed Three Point Jumper.,49,59
1:31,2433,Jordon Harris Defensive Rebound.,49,59
1:15,2433,UL Monroe  Timeout,49,59
0:59,2433,Marvin Jean-Pierre Turnover.,49,59
0:59,2296,Paris Collins Steal.,49,59
0:57,2296,Jeremiah Jefferson made Layup. Assisted by Paris Collins.,51,59
0:57,2296,Jackson State  Timeout,51,59
0:53,2296,Foul on Julian Daughtry.,51,59
0:53,2433,Michael Ertel made Free Throw.,51,60
0:53,2433,Michael Ertel made Free Throw.,51,61
