Southeast Missouri State,2428,North Carolina Central,2546
0:29,2428,Pablo Rivas missed Free Throw.,84,77
0:29,2428,North Carolina Central Deadball Team Rebound.,84,77
0:29,2428,Pablo Rivas missed Free Throw.,84,77
0:29,2546,Ledarrius Brewer Defensive Rebound.,84,77
0:23,2428,Foul on Dominique Reid.,84,77
0:23,2546,Denzel Mahoney made Free Throw.,85,77
0:23,2546,Denzel Mahoney made Free Throw.,86,77
0:14,2428,Reginald Gardner Jr missed Three Point Jumper.,86,77
0:14,2546,Southeast Missouri State Defensive Rebound.,86,77
0:00,2428,End of Game,86,77
