Wofford,261,Vermont,2747
8:53,261,Foul on Cam Ward.,46,50
8:53,2747,Fletcher Magee missed Free Throw.,46,50
8:53,2747,Wofford Deadball Team Rebound.,46,50
8:53,2747,Fletcher Magee made Free Throw.,47,50
8:39,261,Kurt Steidl Turnover.,47,50
8:37,2747,Jaylen Allen Steal.,47,50
8:33,261,Foul on Kurt Steidl.,47,50
8:33,2747,Jaylen Allen made Free Throw.,48,50
8:33,2747,Jaylen Allen made Free Throw.,49,50
8:06,2747,Foul on Justin Tucker.,49,50
8:06,261,Dre Wills missed Free Throw.,49,50
8:06,261,Vermont Deadball Team Rebound.,49,50
8:06,261,Dre Wills missed Free Throw.,49,50
8:06,2747,Cameron Jackson Defensive Rebound.,49,50
7:48,2747,Foul on Cameron Jackson.,49,50
7:48,2747,Cameron Jackson Turnover.,49,50
7:48,261,Official TV Timeout,49,50
7:35,261,Anthony Lamb missed Three Point Jumper.,49,50
7:35,2747,Wofford Defensive Rebound.,49,50
7:09,2747,Cameron Jackson missed Jumper.,49,50
7:09,261,Dre Wills Defensive Rebound.,49,50
6:50,261,Trae Bell-Haynes missed Jumper.,49,50
6:50,2747,Wofford Defensive Rebound.,49,50
6:27,2747,Jaylen Allen missed Jumper.,49,50
6:27,261,Anthony Lamb Defensive Rebound.,49,50
5:56,261,Dre Wills missed Layup.,49,50
5:56,261,Vermont Offensive Rebound.,49,50
5:48,261,Kurt Steidl made Layup. Assisted by Ernie Duncan.,49,52
5:28,261,Foul on Kurt Steidl.,49,52
5:28,2747,Ryan Sawvell made Free Throw.,50,52
5:28,2747,Ryan Sawvell missed Free Throw.,50,52
5:28,261,Anthony Lamb Defensive Rebound.,50,52
5:22,261,Kurt Steidl missed Jumper.,50,52
5:22,2747,Ryan Sawvell Defensive Rebound.,50,52
4:59,2747,Ryan Sawvell made Layup.,52,52
4:42,261,Payton Henson made Dunk. Assisted by Trae Bell-Haynes.,52,54
4:24,2747,Nathan Hoover made Three Point Jumper. Assisted by Fletcher Magee.,55,54
3:51,261,Foul on Trae Bell-Haynes.,55,54
3:51,261,Trae Bell-Haynes Turnover.,55,54
3:51,261,Official TV Timeout,55,54
3:42,2747,Cameron Jackson made Layup.,57,54
3:26,261,Kurt Steidl made Layup.,57,56
3:05,2747,Fletcher Magee missed Jumper.,57,56
3:05,261,Anthony Lamb Defensive Rebound.,57,56
2:53,2747,Foul on Nathan Hoover.,57,56
2:46,261,Ernie Duncan made Free Throw.,57,57
2:46,261,Ernie Duncan made Free Throw.,57,58
2:32,2747,Cameron Jackson Turnover.,57,58
2:30,261,Dre Wills Steal.,57,58
2:09,261,Dre Wills Turnover.,57,58
2:09,2747,Wofford  Timeout,57,58
1:53,2747,Eric Garcia missed Three Point Jumper.,57,58
1:53,2747,Cameron Jackson Offensive Rebound.,57,58
1:42,2747,Cameron Jackson made Jumper.,59,58
1:31,261,Foul on Anthony Lamb.,59,58
1:31,261,Anthony Lamb Turnover.,59,58
1:18,2747,Eric Garcia Turnover.,59,58
1:16,261,Ernie Duncan Steal.,59,58
1:10,261,Vermont  Timeout,59,58
0:55,261,Payton Henson missed Three Point Jumper.,59,58
0:55,2747,Wofford Defensive Rebound.,59,58
0:52,261,Foul on Kurt Steidl.,59,58
0:52,2747,Derrick Brooks missed Free Throw.,59,58
0:52,2747,Wofford Deadball Team Rebound.,59,58
0:52,2747,Derrick Brooks missed Free Throw.,59,58
0:52,261,Kurt Steidl Defensive Rebound.,59,58
0:42,261,Payton Henson missed Layup.,59,58
0:42,2747,Cameron Jackson Block.,59,58
0:40,2747,Fletcher Magee Defensive Rebound.,59,58
0:13,2747,Fletcher Magee missed Three Point Jumper.,59,58
0:13,261,Vermont Defensive Rebound.,59,58
0:03,2747,Wofford  Timeout,59,58
0:02,261,Trae Bell-Haynes made Jumper.,59,60
0:00,2747,Fletcher Magee missed Three Point Jumper.,59,60
0:00,261,Vermont Defensive Rebound.,59,60
0:00,261,End of Game,59,60
