Chicago State,2473,Oakland,2130
3:18,2130,Fred Sims Jr. missed Layup.,72,99
3:18,2473,Jaevin Cumberland Defensive Rebound.,72,99
3:12,2473,Nick Daniels missed Layup.,72,99
3:12,2130,Deionte Simmons Defensive Rebound.,72,99
3:08,2473,Foul on Nick Daniels.,72,99
3:08,2130,Deionte Simmons made Free Throw.,73,99
3:08,2130,Deionte Simmons missed Free Throw.,73,99
3:08,2473,Isaiah Brock Defensive Rebound.,73,99
2:47,2473,Jaevin Cumberland made Jumper.,73,101
2:37,2130,Fred Sims Jr. missed Three Point Jumper.,73,101
2:37,2473,Nick Daniels Defensive Rebound.,73,101
2:29,2473,Jaevin Cumberland missed Three Point Jumper.,73,101
2:29,2130,Brian Greene Jr. Defensive Rebound.,73,101
2:20,2130,Clemmye Owens V missed Three Point Jumper.,73,101
2:20,2473,Chris Palombizio Defensive Rebound.,73,101
1:53,2130,Foul on Clemmye Owens V.,73,101
1:53,2473,Chris Palombizio made Free Throw.,73,102
1:53,2473,Chris Palombizio made Free Throw.,73,103
1:42,2130,Deionte Simmons made Jumper. Assisted by Clemmye Owens V.,75,103
1:42,2473,Foul on Isaiah Brock.,75,103
1:42,2130,Deionte Simmons missed Free Throw.,75,103
1:42,2473,Jaevin Cumberland Defensive Rebound.,75,103
1:23,2130,Foul on Brian Greene Jr..,75,103
1:23,2473,Jaevin Cumberland made Free Throw.,75,104
1:23,2473,Jaevin Cumberland made Free Throw.,75,105
1:04,2130,Trayvon Palmer missed Three Point Jumper.,75,105
1:04,2473,Isaiah Brock Defensive Rebound.,75,105
0:52,2130,Foul on Trayvon Palmer.,75,105
0:52,2473,Nick Daniels made Free Throw.,75,106
0:52,2473,Nick Daniels made Free Throw.,75,107
0:42,2473,Foul on Isaiah Brock.,75,107
0:42,2130,Deionte Simmons missed Free Throw.,75,107
0:42,2130,Chicago St Deadball Team Rebound.,75,107
0:42,2130,Deionte Simmons made Free Throw.,76,107
0:34,2473,Nick Daniels missed Three Point Jumper.,76,107
0:34,2130,Deionte Simmons Defensive Rebound.,76,107
0:27,2130,Clemmye Owens V made Three Point Jumper. Assisted by Delundre Dixon.,79,107
0:00,2473,End of Game,79,107
